ngonngu,theloai,hinhanh,tensach,tacgia,nxb,namxb,hinhthuc,mota,giaban,giamgia,sodanhgia,sobinhchon,giagoc
Tiếng Việt,Tác Phẩm Kinh Điển,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_244294.jpg,Robinson Crusoe (Tái Bản 2021),Daniel Defoe,NXB Kim Đồng,2021,Bìa Mềm,"Robinson Crusoe, người thủy thủ xứ York, sau nhiều hành trình gian nan trên biển đã phiêu bạt đến một hòn đảo hoang. Anh bắt đầu cuộc sống trên đảo với sự đe dọa của thú dữ, bão lũ, những con người hoang dã rất có thể là kẻ thù, ốm đau bệnh tật… Và Robinson đã lưu lạc trên đảo vắng suốt hai mươi tám năm ròng.

Robinson Crusoe là một tác phẩm chứa chan tinh thần lạc quan yêu đời, là bài ca ca ngợi sức lao động, ca ngợi sức mạnh của con người trong cuộc đấu tranh sinh tồn với thiên nhiên.

“Tác phẩm Robinson Crusoe của nhà văn Daniel Defoe đứng thứ 2 trong danh sách 100 tiểu thuyết viết bằng tiếng Anh hay nhất.” - Theo The Guardian

DANIEL DEFOE (1660-1731) là nhà văn người Anh

Tác phẩm chính:

Robinson Crusoe (1719)

Thủ lĩnh Singleton (1720)

Moll Flanders (1722)

Đại tá Jack (1722)",42,5,(0 đánh giá),0,45.000 đ
Tiếng Việt,Tác Phẩm Kinh Điển,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/d/e/den_khong_hat_bong_tb6-01.jpg,Đèn Không Hắt Bóng (Tái Bản 2018),NXB Hội Nhà Văn,NXB Hội Nhà Văn,2018,Bìa Mềm,"Đèn không hắt bóng là tác phẩm văn học nổi tiếng nhất của Wanatabe Dzunichi – vừa là nhà văn vừa là Tiến sĩ Y khoa. Nhiều thế hệ thuộc lòng tiểu thuyết độc đáo này, bởi không khí xám bạc dịu dàng đặc trưng của Nhật Bản, bởi sự dằn vặt muôn thuở trước sự sống và cái chết, sự song hành giữa tình yêu và cô độc.

Tinh hoa văn học của nhân loại nào cũng cần được khám phá và tái khám phá. Mỗi tác phẩm lớn là một sự kỳ diệu và mỗi lần ta tìm đến là thực hiện những cuộc phiêu lưu hoan lạc. Đến với tiểu thuyết Đèn Không Hắt Bóng là chúng ta đang bước vào cánh cửa thứ nhất của Tủ sách tinh hoa văn học - cánh cửa với những tác phẩm được dịch trọn vẹn và giới thiệu cả tác giả lẫn tác phẩm trong bối cảnh văn hoá với những đặc điểm thiết yếu - cánh cửa Kiệt Tác. Tiểu thuyết Đèn Không Hắt Bóng là tác phẩm nổi tiếng nhất của Watanabe Dzunuchi được viết trong giai đoạn khoảng năm 1971.
Đèn Không Hắt Bóng không đơn thuần kể về đời sống bệnh viện. Nhìn ở góc độ khác, nó là câu chuyện tình yêu lạnh lùng, bí ẩn và đau đớn. Mối quan hệ giữa Noriko và bác sĩ Naoê phải chăng là tình yêu một chiều? Đứng bên cạnh vị bác sĩ tài hoa, hình ảnh của Noriko khá lặng lẽ. Yêu Naoê, tự nguyện gắn bó với anh, cô vẫn phải chứng kiến hàng loạt mối quan hệ bất thường của Naoê với những phụ nữ khác, từ vợ và con gái của bác sĩ viện trưởng, cô gái quán bar, cho đến nàng ca sĩ ngôi sao… Nhưng đau khổ hơn hết, cô nhận ra Naoê là một pháo đài riêng, không cho cô thâm nhập, ngay cả những giây phút gần gũi nhất cả về thân xác lẫn tình cảm.
Chỉ đến khi Naoê mất đi, bức màn bí mật mới được vén lên. Giữa bao nhiêu phụ nữ vây quanh, Naoê chỉ yêu một mình Noriko. Cô chính là mảnh gương cuộc đời để anh soi vào, là chỗ bấu víu duy nhất trong những cơn đau đớn tuyệt vọng vì cái chết gần kề… Nhưng vì kiêu hãnh và xót thương, anh không bao giờ phơi bày sự thật với cô. Tình yêu bền bỉ của Noriko đã được đền đáp, dù muộn mằn…",158,20,(21 đánh giá),0,198.000 đ
Tiếng Việt,Truyện Trinh Thám - Kiếm Hiệp,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_119098.jpg,Cha Con Giáo Hoàng,"Mario Puzo , Phan Quang Định",NXB Đại Học Quốc Gia Hà Nội,16-Aug,Bìa Mềm,"Cha con Giáo hoàng là một thiên sử thi xuất sắc, pha trộn màu sắc lãng mạn với chất cuồng điên của lòng tham quyền lực, những mưu ma chước quỷ, tội lỗi và trừng phạt… vượt xa khỏi trí tưởng tượng của người thường. Cuốn sách mang người đọc du hành đến một không gian, thời gian hoàn toàn khác, nơi Giáo hội nắm quyền thống trị tối cao, nơi lửa tham vọng ngùn ngụt cháy dưới tấm áo choàng đỏ rực. Đây là câu chuyện về mối quan hệ cha con kì lạ: gắn bó với nhau bởi huyết thống, lòng tận tụy và những ý đồ đen tối; về một gia đình khét tiếng mà công trạng và tội lỗi còn mãi lưu truyền hậu thế: gia đình Borgia.
Mời bạn đón đọc.",110,18,(6 đánh giá),0,135.000 đ
Tiếng Việt,Huyền Bí - Giả Tưởng - Kinh Dị,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_174703.jpg,Coraline (Tái Bản 2018),Neil Gaiman,NXB Văn Học,2018,Bìa Mềm,"Khi Coraline bước qua cánh cửa, nó nhìn thấy một ngôi nhà giống hệt nhà mình. Chỉ có điều, mọi thứ dường như tốt đẹp và hấp dẫn hơn.

Nơi ấy có mẹ khác của nó, và cả cha khác nữa. Họ muốn nó ở lại làm con gái bé bỏng của họ. Họ muốn thay đổi nó và giữ nó bên mình mãi mãi.

Nhưng từ phía sau cánh cửa, Coraline mới biết điều nó thật sự cần. Nó khao khát trở lại cuộc sống đích thực của mình. Bằng tất cả trí khôn và lòng dũng cảm, Coraline đã thực hiện một hành trình phi thường, ly kỳ và vô cùng bất ngờ.",47,15,(29 đánh giá),30748,56.000 đ
Tiếng Việt,Tác giả - Tác Phẩm,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_16882.jpg,Danh Tác Việt Nam - Nguyễn Công Hoan Tuyển Tập,Nguyễn Công Hoan,NXB Văn Học,2019,Bìa Mềm,"Nguyễn Công Hoan - tuyển tập là tập hợp đa phần những truyện ngắn nổi tiếng của nhà văn Nguyễn Công Hoan và phần Tiểu thuyết Bước đường cùng của ông.

Nguyễn Công Hoan sinh ngày 6 tháng 3 năm 1903, tại thôn Xuân Cầu, xã Nghĩa Trụ, huyện Văn Giang, tỉnh Bắc Ninh, nay là tỉnh Hải Hưng, trong một gia đình Nho học. Chính nơi sinh cũng là quê hương ông.

Ông bắt đầu viết văn rất sớm, ngay từ khi còn đương học ở trường Bưởi. Tập truyện ngắn đầu tiên của ông là Kiếp hồng nhan xuất hiện năm 1923, khi ông tròn hai mươi tuổi. Từ đó ông viết nhiều truyện ngắn và truyện dài đăng trên các báo đương thời. Năm 1932 ông bắt đầu được bạn đọc chú ý khi cuốn truyện dài Những cảnh khốn nạn ra đời và nổi tiếng sau khi ra tập Kép Tư Bền (1935).

Truyện ngắn Nguyễn Công Hoan, rất ngắn, cấu trúc gọn và đầy tính hài hước. Ngôn ngữ của ông giản dị, chữ dùng chọn lọc chính xác gợi những hình ảnh đậm nét, dí dỏm và thông minh. Gấp trang sách, người đọc cảm thấy không thể chịu đựng nổi nếu những cảnh huống như vừa đọc còn tiếp tục diễn ra trong cuộc sống con người. Nghệ thuật trào phúng của ông không chỉ bộc lộ rõ ưu thế trong truyện ngắn.

Theo Nguyễn Công Hoan tự nhận xét, sở trường của ông là truyện ngắn chứ không phải tiểu thuyết. Ông nói ông thích viết truyện ngắn hơn tiểu thuyết: ""Tôi chỉ viết truyện dài khi nào tôi lười tìm đề tài để viết truyện ngắn"". Tuy nhiên, với không ít nhà nghiên cứu, phê bình văn học, tiểu thuyết Bước đường cùng vẫn là một trong những tác phẩm quan trọng nhất của đời văn Nguyễn Công Hoan. Cuốn sách từng được đưa vào giảng dạy trong nhà trường và được ghi nhận như một trong những tác phẩm tiêu biểu nhất của dòng văn học hiện thực phê phán giai đoạn 1930-1945.",87,20,(2 đánh giá),0,109.000 đ
Tiếng Việt,Phóng Sự - Ký Sự - Phê Bình Văn Học,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/9/7/9786045852125.jpg,Rong Chơi Miền Chữ Nghĩa Tập 3- An Chi,NXB Tổng Hợp TPHCM,NXB Tổng Hợp TPHCM,2016,Bìa Mềm,"Rong Chơi Miền Chữ Nghĩa Tập 3- An Chi
Từ nhiều năm nay, bạn đọc khắp nơi đã biết đến và ái mộ học giả An chi qua các bài viết của ông được đăng tải trên báo chí. những bài viết này phần nhiều thuộc lĩnh vực từ nguyên học, tập trung vào việc truy tìm và giải thích những thay đổi về ngữ âm và ngữ nghĩa của các từ, các địa danh tiếng việt. Đây quả thật là một công việc khó, đòi hỏi không chỉ vốn kiến thức sâu rộng trong lĩnh vực ngôn ngữ mà còn cần đến vốn hiểu biết về lịch sử, văn hóa và nhiều khi cả sự từng trải của bản thân người nghiên cứu.

Cũng chính bởi sự khó khăn, phức tạp đó mà mỗi khi một kiến giải được học giả An chi đưa ra thường nhận được nhiều ý kiến phản hồi. có ý kiến đồng tình, có ý kiến còn nghi ngại và cả những ý kiến phản đối, thậm chí có cả những “va chạm”. có nhiều kiến giải được trao đổi qua lại nhiều lần trên báo chí và cả trên mạng facebook. hơn một lần học giả An chi đã chủ động tuyên bố phoọc-phe (bỏ cuộc) để chấm dứt những tranh luận mà ông cho là “vô ích” - tất nhiên là sau khi ông đã trả lời cặn kẽ bạn đọc và người phản đối kiến giải của ông, nhưng vì độc giả thấy chưa “đã”, tiếp tục phản hồi nên ông vẫn đăng đàn trả lời, tạo nên những bài viết “hậu phoọc-phe” thú vị. cũng  có lần ông công khai thừa nhậnmột phần kiến giải của mình có chỗ còn lầm lẫn. Điều đó thể hiện một thái độ tranh luận thẳng thắn, cởi mở, khoa học, sẵn sàng đi đến cùng của sự việc.

Mỗi kiến giải của học giả An chi  đều xuất phát từ sự nghiên cứu, đối sánh nghiêm cẩn; được trình bày khúc chiết, khoa học, “nói có sách, mách có chứng”, với một phong cách “rất An chi”– thẳng thắn, không khoan nhượng, giàu cảm xúc… Điều này thực sự hấp dẫn người đọc. những kiến giải của ông không chỉ góp phần làm sáng tỏ nguồn gốc, sự biến đổi của nhiều từ ngữ trong văn chương, trong lời ăn tiếng nói hàng ngày; mà còn đóng góp vào việc nghiên cứu lịch sử, văn hóa nước nhà, ví như khi ông bàn về chữ “cồ” trong quốc hiệu “Đại cồ việt”, về bốn chữ “Bùi thị hý bút” trên di vật gốm chu Đậu… chính giá trị và sức hấp dẫn trong các bài viết của học giả An chi đã thôi thúc chúng tôi xuất bản bộ sách Rong chơi miền chữ nghĩa với ba tập dày dặn, tập hợp những bài viết của ông đăng trên các báo: Đương thời, Người đô thị, An ninh thế giới, Năng lượng mới. hy vọng rằng mỗi bài viết trong bộ sách này sẽ đưa quý độc giả vào một cuộc rong chơi thú vị và say mê, rong chơi để thêm hiểu, thêm yêu tiếng việt và cùng nhau gìn giữsự trong sáng của tiếng nước mình.",113,13,(0 đánh giá),0,130.000 đ
Tiếng Việt,Phóng Sự - Ký Sự - Phê Bình Văn Học,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_190190.jpg,Văn Đàn Bảo Giám,Trần Trung Viên,NXB Văn Học,2018,Bìa Mềm,"Cuốn sách sưu tập hầu hết các tác phẩm thi ca của những bậc tiền nhân như Nguyễn Trãi, Dương Khuê, Nguyễn Khuyến, Nguyễn D trải dài theo quá trình lịch sử cũng như dòng chảy văn học nước nhà. Ngay từ khi mới ra đời, cuốn sách đã nhận được sự hoan nghênh nhiệt liệt, nhiều học giả khen ngợi, đánh giá cao, coi đây là công trình giàu tâm huyết đối với nền quốc văn của tác giả Trần Trung Viên. Một cuốn sách quý đáng được lưu giữ, rất hữu ích cho việc nghiên cứu, thưởng thức nên văn học Việt Nam hiện tại và cho mai sau.",197,21,(0 đánh giá),0,250.000 đ
Tiếng Việt,"Thơ ca, tục ngữ, ca dao, thành ngữ",https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/9/7/9786046979876.jpg,Xuân Quỳnh Thơ Và Đời,Tri Thức Việt,NXB Văn Học,16-Aug,Bìa Mềm,"Xuân Quỳnh Thơ Và Đời 
'Em trở thành bé bỏng  
Trong cánh tay chị xưa  
(Dẫu rằng em bây giờ  
Đã có hai cháu nhỏ)  
Chị kể chuyện thay bà  
Như ngày xưa - tháng ba  
Những đêm dài chó sủa  
Rồi ôm chị nức nở:  
'Chị ơi đừng đi đâu  
Em nghe như đằng sau  
Có tiếng người đang bước!' 
 Chị cười: 'Quỳnh đừng khóc  
Chị chẳng đi đâu mà...'  
Bấy giờ là tháng ba  
Tu hú kêu ngoài bãi'",54,12,(3 đánh giá),0,62.000 đ
Tiếng Việt,Tác Phẩm Kinh Điển,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_236472.jpg,Olivia,Dorothy Strachey,NXB Kim Đồng,2021,Bìa Mềm,"“Vậy ra đó là kết cục của ái tình. Tổn thương và bị tổn thương...” 

Olivia là một thiếu nữ Anh Quốc với tâm hồn nhạy cảm, rung động sâu sắc trước nghệ thuật, và đặc biệt giàu cảm xúc. Cuộc đời mang đến cho cô đầy hứa hẹn ở tuổi trăng tròn khi cô được gia đình gửi tới một ngôi trường nữ sinh thượng lưu ở Pháp. Song nơi lẽ ra phải là vườn địa đàng màu mỡ này lại trở thành đại dương đầy sóng gió với tâm hồn non trẻ kia, khi từng ngày trôi qua, cảm xúc kì lạ của Olivia đối với cô giáo Julie xinh đẹp và cuốn hút ngày một lớn dần và đậm sâu. Nhưng đời tư của Julie lại không đơn giản như Olivia những tưởng. Khi mối quan hệ giữa hai người ngày càng thân mật, vòng xoáy của âm mưu và giông bão ngấm ngầm ẩn dưới vẻ ngoài xinh đẹp của mọi sự vật và con người nơi đây. Năm học ấy dường như đã được định sẵn là sẽ kết thúc trong bi kịch.

“Tôi từng nghĩ rằng một ngày nào đó mình sẽ viết một cuốn tiểu thuyết như OLIVIA. Tôi sẽ đặt tên nó là gì nhỉ? Cái tựa sách dường như rất hiển nhiên vào thời điểm ấy. Tôi sẽ gọi nó là ‘Oliver’. Nhưng rồi tôi nghĩ lại và gọi cuốn sách ấy bằng một cái tên khác. … Tôi đã đọc OLIVIA rất, rất nhiều lần, mua cuốn sách này cho vô số bạn bè, và coi nó như nguồn cảm hứng cho CALL ME BY YOUR NAME.” - ANDRÉ ACIMAN

“Một kiệt tác nho nhỏ.” - ANDRÉ GIDE

“Một cái nhìn thoáng qua tuyệt đẹp về ngọn lửa mong manh của tình yêu… OLIVIA là một tuyệt tác vào thời điểm cuốn sách được viết nên gần 100 năm trước, và tới ngày nay vẫn vậy. OLIVIA không chỉ vững vàng trước thách thức của thời gian, mà nhờ việc tinh tế chú tâm tới ngôn ngữ, cảm xúc, nhờ quyết tâm hết mình ươm mầm những xúc cảm và khát khao nơi người đọc, cuốn sách dễ dàng vượt lên trên nhiều câu chuyện tích cực hơn tiêu biểu cho văn học đồng tính hiện đại.” - POPMATTERS

DOROTHY STRACHEY (1865 - 1960) còn được biết đến dưới tên Dorothy Bussy, là một thành viên xuất chúng của Nhóm Bloomsbury và là chị gái của nhà văn Lytton Strachey. Bà cũng là một người bạn thân thiết của nhà văn André Gide, và đã dịch các tác phẩm của ông sang tiếng Anh. Dorothy kết hôn với hoạ sĩ Simon Bussy vào năm 1903. Cáo phó của bà trên tờ Times (London) miêu tả bà là “một con người duyên dáng, dí dỏm, vui tính và vui vẻ”.

Olivia là tiểu thuyết duy nhất của Dorothy Strachey, hầu như được viết dựa trên trải nghiệm của chính bà trong trường nội trú ở Pháp. Bà sử dụng chính bút danh “Olivia” trong lần xuất bản đầu tiên của tác phẩm này vào năm 1949. Dorothy Strachey đề tặng Olivia cho nhà văn Virginia Woolf.

---

Một ấn phẩm của WINGS BOOKS - Thương hiệu sách trẻ của NXB Kim Đồng.",47,5,(0 đánh giá),0,50.000 đ
Tiếng Việt,Tác giả - Tác Phẩm,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/9/8935236406642.jpg,Gió Lạnh Đầu Mùa (Minh Thắng),Thạch Lam,NXB Văn Học,16-Mar,Bìa Mềm,"Gió Lạnh Đầu Mùa

Gió lạnh đầu mùa tập hợp toàn bộ những tác phẩm trong tập truyện ngắn ""Gió đầu mùa"" của nhà văn Thạch Lam. Cuốn sách bao gồm các truyện: Đứa con đầu lòng, Nhà mẹ Lê, Trở về… Trong những truyện ngắn của ông người ta thấm thía nỗi khổ đau, bất hạnh, hoàn cảnh éo le của những con người nghèo khổ vừa cảm nhận sâu sắc tình người ấm nồng, cao quý, thiêng liêng.
Khi giới thiệu về tập truyện ngắn ""Gió đầu mùa"", Thạch Lam ;viết rằng: ""Đối với tôi văn chương không phải là một cách đem đến cho người đọc sự thoát ly trong sự quên, trái lại văn chương là một thứ khí giới thanh cao và đắc lực mà chúng ta có, để vừa tố cáo và thay đổi một cái thế giới giả dối và tàn ác, làm cho lòng người được thêm trong sạch và phong phú hơn"".
Quả thực, Thạch Lam đã rất trung thành với triết lý viết văn này và từng trang truyện của ông đều hướng về lớp người lao động bần cùng trong những khung cảnh ảm đạm, heo hút. Một mẹ Lê góa bụa, nghèo khổ phải nuôi một đàn con đông đúc, một bác Dư làm phu xe ở phố hàng Bột, cô Tâm hàng xén trong buổi hoàng hôn... Thạch Lam không gắn nhân vật với những sự kiện bi thảm hóa hoàn cảnh của họ nhưng cũng không khoác lên họ ""một thứ ánh trăng lừa dối"". Chính vì vậy, tác phẩm của Thạch Lam giữ được chất hiện thực nhưng không quá bi kịch như Lão Hạc, Chí Phèo... của Nam Cao.",42,10,(26 đánh giá),0,115.000đ
