ngonngu,theloai,hinhanh,tensach,tacgia,nxb,namxb,hinhthuc,mota,giaban,giamgia,sodanhgia,sobinhchon,giagoc
Tiếng Việt,Truyện Trinh Thám - Kiếm Hiệp,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_222436.jpg,Học Viện - The Institute,Stephen King,NXB Thanh Niên,2021,Bìa Mềm,"Bên cạnh Bản đặc biệt The Institute ( Học Viện) làm nức lòng người hâm mộ ông hoàng truyện  kinh dị Stephen King, 1980Books tiếp tục ra mắt bản thường của Học Viện để đưa tác phẩm đến gần với đông đảo người hâm mộ truyện hơn.

Học Viện là tác phẩm áp út của tác giả bán được hơn 350 triệu cuốn sách trên toàn thế giới, Stephen King.

Tác phẩm mở ra với nhân vật Tim Jamieson, một cựu cảnh sát người Mỹ bị mất việc đang lang thang trên cuộc hành trình dọc về phía bắc. Tình cờ, anh tới một thị trấn không-ai-biết-tới: DuPray. Tại đây anh được nhận vào làm người gác đêm của thị trấn, mong rằng quãng thời gian sắp tới sẽ êm đềm...

Thế nhưng đó chỉ là vòng ngoài, phần lớn câu chuyện diễn ra trong một cơ sở bí mật của chính phủ, với khung cảnh xám xịt, đen tối và đầy căng thẳng, xoay quanh một cậu bé 12 tuổi Luke Ellis.

Luke Ellis là một thần đồng với dự định theo học tại hai trường đại học cùng một lúc. Nhưng rồi cuộc sống của cậu đã thay đổi hoàn toàn khi phát hiện ra mình tỉnh dậy trong một căn phòng giống hệt phòng ngủ tại nhà, nhưng nơi này lại là một cơ sở bí mật nằm ở vùng hẻo lánh giữa rừng già Bắc Maine với cái tên gọi: Học Viện. Ở đây có những đứa trẻ đặc biệt giống như cậu, sinh sống ở Khu nửa trước. Giám đốc của Học viện, bà Sigsby, và các nhân viên của bà ta hằng ngày tàn nhẫn khai thác sức mạnh từ những đứa trẻ này, nghiên cứu và sử dụng những món quà đặc biệt của chúng.

Nếu bạn vâng lời, bạn sẽ nhận được mã để mua bất kì thứ gì từ các máy bán hàng tự động. Nếu bạn không nghe theo, điều chờ đón bạn là những hình phạt tàn bạo. Mỗi khi có một đứa trẻ bị đưa tới Khu nửa sau và không bao giờ trở lại, Luke càng trở nên tuyệt vọng với việc trốn thoát ra ngoài và tìm sự giúp đỡ. Chưa từng có ai trốn thoát khỏi Học Viện.

Sự thật đằng sau nơi được gọi là Học Viện này là gì? Và cái kết nào cho những đứa trẻ bị bắt tới Học Viện?

Về tác giả:

Độc giả không còn xa lạ với cái tên Stephen King, tác giả dòng sách kinh dị, kì bí nổi danh toàn thế giới với các tác phẩm cùng các bộ phim chuyển thể đã trở thành kinh điển.

Ông là tác giả của hơn 50 cuốn sách bán chạy nhất - là một bậc thầy trong việc tạo ra một bầu không khí u ám bao phủ lên từng trang truyện.

Stephen King là người giỏi nhất trong việc tạo ra từng mảnh ghép của câu chuyện và xếp đặt chúng lại với nhau theo một cách khéo léo, dễ hiểu và đơn giản. Học Viện không quá bạo lực hoặc rùng rợn như xu hướng trong một số cuốn sách khác của King. Nửa đầu cuốn sách có diễn tiến chậm rãi, vẽ nên một khung cảnh tưởng chừng êm đềm và nhẹ nhàng, nhưng King đã cài cắm những gợi mở nội dung và những tình tiết nhỏ vào từng câu chữ, để mỗi phần đều là một mắt xích giúp khai phá ra sự thật ẩn đằng sau Học Viện.

Mọi thứ bạn mong đợi ở Stephen King đều có trong cuốn sách này: những nhân vật với tính cách được khắc họa vô cùng lập dị; một cốt truyện được xây dựng chặt chẽ và mỗi chi tiết nhỏ đều được sắp đặt có chủ đích; một cảm giác người đọc được tự thỏa sức tưởng tượng ra từng khung cảnh; và những câu chuyện cảm động về tình bạn khiến ta thấy bứt rứt.

The Institute cho thấy Stephen King dù tuổi đã cao nhưng vẫn đang còn ở đỉnh cao phong độ.

Một số nhận định về cuốn sách:

_“King lại gây ấn tượng với một câu chuyện đau lòng về những đứa trẻ chiến thắng cái ác kể từ sau IT – Chú hề ma quái… Một lần nữa chứng minh tại sao Stephen King là vua của thể loại truyện kinh dị.” - Publishers Weekly, STARRED review.

_“Cuốn sách ngay lập tức nhắc nhở tôi về những lý do khiến tôi yêu mến S.King. Ông ấy tiếp cận gần với thực tế cuộc sống của tầng lớp lao động Mỹ hơn bất kỳ nhà văn nào còn sống mà tôi có thể nghĩ tới”. _ Dwight Garner, The New York Times.

_“Học Viện  được mài giũa một cách hoàn hảo và say mê tựa như những tác phẩm xuất sắc khác của King…Làm cách nào để bạn có thể duy trì phẩm giá và nhân cách của mình trong một môi trường được tạo ra để tước bỏ đi cả hai điều đó? Đây là một chủ đề cấp bách trong văn học từ thế kỷ 20 nhưng lại là chủ đề thường trực trong những tác phẩm của S.King. Trong vũ trụ các anh hùng chiến đấu của Mr.King, sự chậm chạp đến vô đạo có thể trở thành điều đáng sợ nhất! _ Laura Miller, The New York Times Book Review.

_ “Học Viện lại là một chiến thắng nữa của S.King: rùng rợn, cảm động và đáng tin đến king hoàng, tất cả hội tụ trong một tác phẩm.” – The Boston Globe

_ “Bạn không cần phải là một người hâm mộ tiểu thuyết kinh dị để đọc Học Viện. Cách kể chuyện của Stephen King vượt qua ranh giới của thể loại.” – Marion Winnick, Newsday",245.180 ,18,(0 đánh giá),0,299.000 đ
Tiếng Việt,Light Novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/9/8936048123468_1.jpg,Khu Vườn Ngôn Từ,Shinkai Makoto,IPM,15-Sep,Bìa Mềm,"TOP 100 BEST SELLER - Khu Vườn Ngôn Từ

Khu vườn ngôn từ kể về một tình yêu còn xa xưa hơn cả tình yêu.
Khái niệm tình yêu trong tiếng Nhật hiện đại là luyến hoặc ái, nhưng vào thời xưa nó được viết là cô bi, nghĩa là nỗi buồn một mình. Shinkai Makoto đã cấu tứ Khu vườn ngôn từ theo ý nghĩa cổ điển này, miêu tả tình yêu theo khái niệm ban sơ của nó, tức là cô bi - nỗi buồn khi một mình thương nhớ một người.
Những ngày mưa triền miên....
Nơi hàng hiên ngập tràn màu xanh của một khu vườn Nhật Bản...
Có một cảm xúc êm dịu đến không thốt nên lời cứ thế manh nha, tựu hình và lửng lơ tồn tại.
Trong lúc dòng đời cuồn cuộn chảy trôi, tất cả hối hả tiến về phía trước, thì cậu và cô lại dừng chân, chìm xuống trong tĩnh lặng riêng mình, và ở cái vũng tĩnh lặng đó, họ tìm thấy nhau. Dần dần và mạo hiểm, quên đi cả các chênh lệch về tuổi tác và vị trí, họ thả hồn mình trôi về nhau hòa điệu.
Làm nền cho tất cả là mưa rơi không ngừng, là lá mướt mát rung rinh. Nhưng khi mưa tạnh và trời quang trở lại, mọi đường nét của hiện thực trở nên rõ rệt đến khắc nghiệt, thì những êm dịu và lửng lơ kia liệu còn khả năng tồn tại?",75.050 ,21,(142 đánh giá),30718,103.000 đ
Tiếng Việt,Huyền Bí - Giả Tưởng - Kinh Dị,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_682.jpg,Lò Sát Sinh Số 5,Kurt Vonnegut,NXB Hà Nội,2019,Bìa Mềm,"“Đời là thế.”

Với Lò sát sinh số 5, Kurt Vonnegut đưa người đọc lần theo cuộc đời của Billy Pilgrim – một anh lính Mỹ đi qua Thế chiến thứ Hai rồi trở thành một bác sĩ đo thị lực vào thời bình. Những mảnh ghép cuộc đời anh ta lần lần hé lộ qua những cuộc du hành xuyên thời gian dường như đột ngột và ngẫu nhiên xảy đến với Billy Pilgrim, tạo thành bức tranh thân phận con người trong một cuộc chiến tranh lố bịch và điên rồ với những chấn thương chỉ có thể được nói đến bằng giọng điệu báng bổ và cười cợt.

Pha trộn giữa tự thuật và hư cấu, giữa phản chiến và khoa học viễn tưởng, giữa cảm giác hư vô và buồn cười nôn ruột, Lò sát sinh số 5 - tác phẩm được xem là lớn nhất của Kurt Vonnegut - là biên bản độc nhất vô nhị về Thế chiến thứ Hai nơi con người bị sự vô nghĩa nghiền nát.Xuất bản năm 1969, cuốn sách phản chiến đầy sức mạnh này đã sớm trở thành sách gối đầu giường của những người Mỹ phản đối chiến tranh Việt Nam bấy giờ.

Kurt Vonnegut Jr. (1922-2007) được xem là một trong những nhà văn Mỹ có ảnh hưởng nhất thế kỉ 20. Nổi tiếng với chất hài hước đen đầy báng bổ trong các tác phẩm của mình, Kurt Vonnegut khi còn sống được xem là một Mark Twain đương đại.",98.600 ,15,(2 đánh giá),0,112.000 đ
Tiếng Việt,Tiểu thuyết,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/c/o/co_gai_den_tu_hom_qua_1_2018_11_16_11_03_46.JPG,Cô Gái Đến Từ Hôm Qua,Nguyễn Nhật Ánh,NXB Trẻ,2017,Bìa Mềm,"Cô Gái Đến Từ Hôm Qua
Cô gái đến từ hôm qua được ví như một cuốn phim của quá khứ và hiện tại được ngòi bút tài hoa của tác giả dẫn dắt ta đi từ bất ngờ này đến thú vị khác. Nếu ngày xưa còn bé, Thư luôn tự hào mình là cậu con trai thông minh có quyền bắt nạt và sai khiến các cô bé cùng lứa tuổi (nạn nhân cụ thể là bé Tiểu Li) thì giờ đây lớn lên, anh luôn khổ sở khi thấy mình ngu ngơ và bị một cô bạn tên là Việt Án “xỏ mũi”. Và điều nghịch lý ấy xem ra ngày càng “trớ trêu” hơn… Trong lần tái bản này, tác phẩm được ra mắt theo phong cách mới, với phiên bản bìa thứ 14, được in trên chất liệu giấy dầy và nhẹ, kèm bài thơ “Cô gái đến từ hôm qua” của nhà văn Nguyễn Nhật Ánh và 10 hình minh họa của họa sĩ Đỗ Hoàng Tường.
Tác phẩm Cô gái đến từ hôm qua đã được mua bản quyền và chuyển thể thành phim điện ảnh, do Phan Gia Nhật Linh làm đạo diễn, với sự tham gia của các diễn viên Miu Lê, Ngô Kiến Huy, Jun Phạm, Hoàng Yến Chibi, Lê Hạ Anh... Phim được dự kiến ra mắt trên toàn quốc vào ngày 21/7/2017.",64.000 ,20,(160 đánh giá),30746,106.000 đ
Tiếng Việt,Light Novel,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/n/d/nddg03db.jpg,Nguyệt Đạo Dị Giới - Tập 3 - Bản Đặc Biệt - Tặng Kèm Bookmark + Postcard + Card Trong,Azumi Kei,NXB Phụ Nữ Việt Nam,2021,Bìa Mềm,"NGUYỆT ĐẠO DỊ GIỚI 3 - SERIES TRUYỆN ĂN KHÁCH BẬC NHẤT ĐÃ TRỞ LẠI
Tiếp nối diễn biến hấp dẫn từ tập 2, Nguyệt Đạo Dị Giới tập 3 mở ra với sự kiện Misumi Makoto với bí danh Raidou đã cùng hai tùy tùng là Tomoe và Mio thành lập thương hội Kuzunoha. Nhờ có sự hậu thuẫn và giúp đỡ của Rembrandt, Makoto đã thành công gia nhập thị trường Ziege dưới mô hình kinh doanh cửa hàng bách hóa, nơi bày bán các sản vật từ Á Không, đặc biệt là hoa Ambrosia – loài hoa trị bách bệnh mà Makoto đã khám phá ra thông qua vụ việc náo động của gia đình Rembrandt ở tập 2.
Trong chuyến du hành tìm đến nơi loài hoa Ambrosia sinh trưởng, Makoto và Mio đã phát hiện ra ba Loài người bám đuôi mình, nhưng vì nể tình đồng loại nên cậu đã tha thứ và đưa họ về Á Không để trông coi. Cũng trong lúc ấy, nhóm Makoto còn chạm trán với hai cô gái Á nhân thuộc tộc Quỷ rừng, sau đó được họ dẫn về ngôi làng của họ - một nơi với bầu không khí vô cùng kì quái… Có vẻ nhóm Makoto lại sắp bị cuốn vào chuyện gì đó rồi đây.
Rốt cuộc đã có chuyện gì xảy ra với ngôi làng ấy…?
Và liệu ba Loài người được tha thứ kia có gây nên những sóng gió gì không?
Tất cả sẽ được giải đáp trong tập 3 của series ăn khách “Nguyệt đạo dị giới”. Bằng ngòi bút kỳ diệu của mình, Azumi Kei sẽ vẽ nên những chuyến phiêu lưu gay cấn đến ngạt thở trong một thế giới pháp thuật huyền bí kỳ ảo – nơi mà bạn ngỡ rằng chỉ có thể chạm đến trong những giấc mơ!",129.000 ,25,(0 đánh giá),0,149.000 đ
Tiếng Việt,Tiểu thuyết,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_181775.jpg,Totto-Chan Bên Cửa Sổ (Tái Bản 2019),Kuroyanagi Tetsuko,NXB Hội Nhà Văn,2019,Bìa Mềm,"Vừa vào lớp một được vài ngày, Totto-chan đã bị đuổi học!!!

Không còn cách nào khác, mẹ đành đưa Totto-chan đến một ngôi trường mới, trường Tomoe. Đấy là một ngôi trường kỳ lạ, lớp học thì ở trong toa xe điện cũ, học sinh thì được thoả thích thay đổi chỗ ngồi mỗi ngày, muốn học môn nào trước cũng được, chẳng những thế, khi đã học hết bài, các bạn còn được cô giáo cho đi dạo. Đặc biệt hơn ở đó còn có một thầy hiệu trưởng có thể chăm chú lắng nghe Totto-chan kể chuyện suốt bốn tiếng đồng hồ! Chính nhờ ngôi trường đó, một Totto-chan hiếu động, cá biệt đã thu nhận được những điều vô cùng quý giá để lớn lên thành một con người hoàn thiện, mạnh mẽ.

Totto-chan bên cửa sổ là cuốn sách gối đầu giường của nhiều thế hệ trẻ em trên toàn thế giới suốt ba mươi năm nay. Sau khi xuất bản lần đầu vào năm 1981, cuốn sách đã gây được tiếng vang lớn không chỉ ở Nhật Bản mà còn trên toàn thế giới. Tính đến năm 2001, tổng số bản sách bán ra ở Nhật đã lên đến 9,3 triệu bản, trở thành một trong những cuốn sách bán chạy nhất trong lịch sử ngành xuất bản nước này. Cuốn sách đã được dịch ra 33 thứ tiếng khác nhau, như Anh, Pháp, Đức, Hàn Quốc, Trung Quốc…Khi bản tiếng Anh của Totto-chan được xuất bản tại Mỹ, tờ New York Times đã đăng liền hai bài giới thiệu trọn trang, một “vinh dự” hầu như không tác phẩm nào có được.",83.300 ,15,(59 đánh giá),30816,108.000 đ
Tiếng Việt,12 Cung Hoàng Đạo,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_186566.jpg,Giải Mã 12 Chòm Sao - Khám Phá Tất Tần Tật Cung Bạch Dương (Tái Bản 2019),Nhiều Tác Giả,NXB Kim Đồng,2019,Bìa Mềm,"Cùng nhau bước vào hành trình khám phá:

- Những điều cực thú vị về tính cách tiềm ẩn của bạn.

- Hiểu hơn về sở thích, ưu điểm, nhược điểm của bản thân.

- Hoàn thiện mình bằng cách phát huy các thế mạnh sẵn có của mỗi cung tuổi và khắc phục những điểm yếu trong tính cách của mình.

- Gỡ rối những xích mích với bạn bè và gà bông.

- Nhận ra những tố chất của bản thân, giúp có những lựa chọn nghề nghiệp, công việc phù hợp.",17.100 ,10,(0 đánh giá),0,52.000 đ
Tiếng Việt,Tuổi Teen,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/9/7/9786042093651.jpg,Chỉ Thấy Mây Trời,Vũ Thị Huyền Trang,NXB Kim Đồng,17-Aug,Bìa Mềm,"Chỉ Thấy Mây Trời
“Chỉ thấy mây trời” viết về những điều gần gũi và thân thuộc nhất trong cuộc sống. Đó là tình cảm gia đình giữa bà với cháu, giữa cha mẹ với con cái được nuôi dưỡng bằng sự yêu thương và sẻ chia đồng cảm. Mà ở đó, những đứa trẻ phải học cách trưởng thành từ những đổ vỡ, mất mát và xa cách. Thấp thoáng trong từng câu chuyện luôn là hình ảnh quê nhà đau đáu trong kí ức của một người con bươn chải chốn thị thành.",33.250 ,5,(0 đánh giá),0,38.000 đ
Tiếng Việt,12 Cung Hoàng Đạo,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_240302.jpg,Mật Ngữ 12 Cung Hoàng Đạo - Bí Mật Cung Song Tử - Song Tử Trưởng Thành,Duy Trinh,NXB Phụ Nữ Việt Nam,2021,Bìa Mềm,"Bạn có biết 12 cung Hoàng Đạo, cũng chính là ứng với 12 tháng trong năm.

Mỗi cung sẽ mang trong mình một tính cách và cá tính riêng biệt từng cung.

Hãy cùng nhau khám phá ngay 12 chòm sao và những tính cách đặc trưng dưới đây nào!",39.360 ,18,(0 đánh giá),0,48.000 đ
Tiếng Việt,Phóng Sự - Ký Sự - Phê Bình Văn Học,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/9/7/9786045852118.jpg,Rong Chơi Miền Chữ Nghĩa Tập 2- An Chi,NXB Tổng Hợp TPHCM,NXB Tổng Hợp TPHCM,2016,Bìa Mềm,"Rong Chơi Miền Chữ Nghĩa Tập 2- An Chi
Từ nhiều năm nay, bạn đọc khắp nơi đã biết đến và ái mộ học giả An chi qua các bài viết của ông được đăng tải trên báo chí. những bài viết này phần nhiều thuộc lĩnh vực từ nguyên học, tập trung vào việc truy tìm và giải thích những thay đổi về ngữ âm và ngữ nghĩa của các từ, các địa danh tiếng việt. Đây quả thật là một công việc khó, đòi hỏi không chỉ vốn kiến thức sâu rộng trong lĩnh vực ngôn ngữ mà còn cần đến vốn hiểu biết về lịch sử, văn hóa và nhiều khi cả sự từng trải của bản thân người nghiên cứu.

Cũng chính bởi sự khó khăn, phức tạp đó mà mỗi khi một kiến giải được học giả An chi đưa ra thường nhận được nhiều ý kiến phản hồi. có ý kiến đồng tình, có ý kiến còn nghi ngại và cả những ý kiến phản đối, thậm chí có cả những “va chạm”. có nhiều kiến giải được trao đổi qua lại nhiều lần trên báo chí và cả trên mạng facebook. hơn một lần học giả An chi đã chủ động tuyên bố phoọc-phe (bỏ cuộc) để chấm dứt những tranh luận mà ông cho là “vô ích” - tất nhiên là sau khi ông đã trả lời cặn kẽ bạn đọc và người phản đối kiến giải của ông, nhưng vì độc giả thấy chưa “đã”, tiếp tục phản hồi nên ông vẫn đăng đàn trả lời, tạo nên những bài viết “hậu phoọc-phe” thú vị. cũng  có lần ông công khai thừa nhậnmột phần kiến giải của mình có chỗ còn lầm lẫn. Điều đó thể hiện một thái độ tranh luận thẳng thắn, cởi mở, khoa học, sẵn sàng đi đến cùng của sự việc.

Mỗi kiến giải của học giả An chi  đều xuất phát từ sự nghiên cứu, đối sánh nghiêm cẩn; được trình bày khúc chiết, khoa học, “nói có sách, mách có chứng”, với một phong cách “rất An chi”– thẳng thắn, không khoan nhượng, giàu cảm xúc… Điều này thực sự hấp dẫn người đọc. những kiến giải của ông không chỉ góp phần làm sáng tỏ nguồn gốc, sự biến đổi của nhiều từ ngữ trong văn chương, trong lời ăn tiếng nói hàng ngày; mà còn đóng góp vào việc nghiên cứu lịch sử, văn hóa nước nhà, ví như khi ông bàn về chữ “cồ” trong quốc hiệu “Đại cồ việt”, về bốn chữ “Bùi thị hý bút” trên di vật gốm chu Đậu… chính giá trị và sức hấp dẫn trong các bài viết của học giả An chi đã thôi thúc chúng tôi xuất bản bộ sách Rong chơi miền chữ nghĩa với ba tập dày dặn, tập hợp những bài viết của ông đăng trên các báo: Đương thời, Người đô thị, An ninh thế giới, Năng lượng mới. hy vọng rằng mỗi bài viết trong bộ sách này sẽ đưa quý độc giả vào một cuộc rong chơi thú vị và say mê, rong chơi để thêm hiểu, thêm yêu tiếng việt và cùng nhau gìn giữsự trong sáng của tiếng nước mình.",114.840 ,13,(0 đánh giá),0,50.000 đ
