sachtrongnuoc,nhom,theloai,danhsach,hinhanh,tensach,tacgia,nxb,namxb,hinhthuc,mota,giaban,giamgia,sodanhgia,sobinhchon
Sách Trong Nước,Văn học,Phóng Sự - Ký Sự - Phê Bình Văn Học,Thi Nhân Việt Nam (Tái Bản 2018),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_176496.jpg,Thi Nhân Việt Nam (Tái Bản 2018),"Hoài Thanh, Hoài Chân",NXB Hội Nhà Văn,2018,Bìa Mềm,"Thi Nhân Việt Nam của hai tác giả Hoài Thanh và Hoài Chân là tác phẩm sưu tầm, giới thiệu các thành tựu của phong trào Thơ Mới được xuất bản vào đầu năm 1942.

Từ hơn nửa thế kỷ trước đây, phong trào Thơ Mới đã có những đóng góp đáng kể vào sự phát triển của nền văn học trước Cách mạng tháng Tám của đất nước. Các thi sĩ của thuở ấy đã đem lại cho bạn đọc một tiếng nói mới, phản ánh khá trung thực tâm trạng của cả một lớp thanh niên tiểu tư sản trong cuộc sống có nhiều đau buồn, trăn trở và đôi khi bế tắc trước hiện trạng của đất nước thời bấy giờ. Với sự đổi mới mạnh mẽ của hình thức nghệ thuật, Thơ Mới thật sự đã thu hút được sự chú ý của khá đông bạn đọc yêu thơ và đó cũng là một đóng góp có ý nghĩa vào sự phát triển của thể loại và chứng minh khả năng biểu đạt phong phú của tiếng Việt.

Thi nhân Việt Nam được coi là sự khám phá và đánh giá đầu tiên đối với Thơ Mới. Việc lựa chọn tác phẩm và tác giả đương thời, nhất là những người mới xuất hiện trên văn đàn, là một việc hết sức khó khăn, nhưng với sự cảm thụ khá sâu sắc và với cái nhìn tinh tế, các tác giả đã chọn được một chùm hoa giàu hương sắc trong vườn Thơ Mới để gửi tặng những người yêu thơ. Chính vì thế, Thi nhân Việt Nam đã được bạn đọc cả nước đón nhận và tán thưởng.

Hơn nửa thế kỷ đã trôi qua, việc thẩm định lại những giá trị có thể có những thay đổi, nhưng để bảo đảm tính lịch sử của một tác phẩm đã xuất hiện trước đây, Trí Việt Books cho in nguyên văn của tác phẩm, nhằm mang đến cho bạn đọc những cảm xúc vẹn nguyên cùng với tác giả khi cảm nhận về phong trào Thơ Mới một thời.",59.220 đ,-37%,(3 đánh giá),0
Sách Trong Nước,Văn học,Tác giả - Tác Phẩm,Tuyển Tập Nguyên Hồng,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/9/8936067595307.jpg,Tuyển Tập Nguyên Hồng,Nguyên Hồng,NXB Văn Học,2016,Bìa Mềm,"Tuyển Tập Nguyên Hồng
Tên thật của ông là Nguyễn Nguyên Hồng, sinh ngày 5 tháng 11 năm 1918 ở Nam Định. Những tác phẩm của ông mang một tình cảm nhân đạo thống thiết . Sinh trưởng trong một gia đình nghèo, mồ côi cha, từ nhỏ theo mẹ ra Hải Phòng kiếm sống trong các xóm chợ nghèo. Nguyên Hồng ham đọc sách từ nhỏ. ông thường dành tiền thuê sách để đọc và dường như đọc hết những quyển sách mình thích ở cửa hàng cho thuê sách tại Nam Định. Loại sách Nguyên Hồng thích thuở nhỏ là truyện lịch sử Trung Hoa, trong đó những nhân vật có khí phách ngang tàng, trung dũng, những hảo hán chiếm cảm tình của ông nhiều nhất. Nguyên Hồng Tuyển Tập - Quyển sách tập hợp các tác phẩm hay nhất của nhà văn Nguyên Hồng",108.240 đ,-18%,(7 đánh giá),0
Sách Trong Nước,Văn học,12 Cung Hoàng Đạo,Nhân Mã - Tìm Hiểu Chòm Sao Sagittarius (23/11-22/12),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180164_1_43_1_57_1_4_1_2_1_210_1_29_1_98_1_25_1_21_1_5_1_3_1_18_1_18_1_45_1_26_1_32_1_14_1_158.jpg,Nhân Mã - Tìm Hiểu Chòm Sao Sagittarius (23/11-22/12),Gia Linh,NXB Hà Nội,2009,Bìa Mềm,"Bộ sách ""Tìm hiểu chòm sao"" phân tích và đưa ra những nhận định liên quan tới tính cách, tương lai và vận thế cuộc đời của 12 chòm sao khác nhau trong cung Hoàng Đạo. Cách suy luận về chòm sao mà sách giới thiệu chỉ mang tính chất thống kê mà thôi, bởi lẽ cuộc đời của mỗi người không hoàn toàn được quyết định bởi một chòm sao mà còn được quyết định bởi một yếu tố hết sức quan trọng khác đó là phương pháp giáo dục sau khi sinh. Mục đích của bộ sách ""Tìm hiểu chòm sao"" này là mong muốn các bạn có thể sửa chữa được những khuyết điểm không có lợi cho bản thân sau khi đã hiểu rõ một phần tính cách và cuộc đời mình qua chòm sao chiếu mệnh.",10.000 đ,-20%,(0 đánh giá),0
Sách Trong Nước,Văn học,Phóng Sự - Ký Sự - Phê Bình Văn Học,Danh Tác Văn Học Việt Nam - Thi Nhân Việt Nam,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_33746.jpg,Danh Tác Văn Học Việt Nam - Thi Nhân Việt Nam,"Hoài Thanh, Hoài Chân",NXB Văn Học,2020,Bìa Mềm,"Thi nhân Việt Nam là công trình biên khảo có giá trị tin cậy về phong trào Thơ mới, cả về ba mặt: nghiên cứu, phê bình và tuyển thơ. Cuốn sách ra đời sau khi hành trình thơ mới đã đi được 10 năm và vẫn còn tiếp tục chặng đường, nhưng vẫn có ý nghĩa của một công trình tổng kết cả phong trào.

Cuốn sách có giá trị nghệ thuật rất cao với giọng văn tâm tình, âm điệu nhẹ nhàng và câu từ duyên dáng, dí dỏm.",72.000 đ,-20%,(0 đánh giá),0
Sách Trong Nước,Văn học,"Thơ ca, tục ngữ, ca dao, thành ngữ",Tuyển Thơ Trần Đăng Khoa (Phiên Bản Đặc Biệt - Bìa Tráng Kim Loại),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/t/u/tuyenthotrandangkhoa.jpg,Tuyển Thơ Trần Đăng Khoa (Phiên Bản Đặc Biệt - Bìa Tráng Kim Loại),Trần Đăng Khoa,NXB Kim Đồng,2016,Bìa Mềm,"Tập tuyển này chọn lọc những tác phẩm tiêu biểu nhất trong cả ba tập thơ của Trần Đăng Khoa. Đặc biệt, cùng với thơ còn có những mảng kí ức, những trang hồi kí, những cuộc trao đổi của nhà thơ xung quanh”chuyện bếp núc” trong nghề. Nhiều bí mật lần đầu tiên hé mở. Tập sách hấp dẫn, thích hợp với nhiều đối tượng bạn đọc, từ những người làm công tác nghiên cứu đến các em học sinh, sinh viên và nhất là vớinhững em đang học làm thơ bởi tập sách này sẽ cho các em nhiều kinh nghiệm thú vị.",136.160 đ,-8%,(0 đánh giá),0
Sách Trong Nước,Văn học,Tác Phẩm Kinh Điển,Cuốn Theo Chiều Gió (Bìa Cứng),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_227898.jpg,Cuốn Theo Chiều Gió (Bìa Cứng),Margaret Mitchell,NXB Hội Nhà Văn,2021,Bìa Cứng,"Lấy bối cảnh thời Nội chiến và tái thiết với các cuộc chiến ác liệt, những mâu thuẫn sâu sắc về chính trị, xã hội và cảnh đói nghèo sau chiến tranh, Cuốn theo chiều gió kể về Scarlett O’Hara, cô tiểu thư mắt xanh với dòng máu Ireland kiêu hãnh. Từ cô thiếu nữ mười sáu tuổi sống trong nhung lụa, bồng bột theo đuổi tình yêu, Scarlett đã đi qua những tháng ngày tuyệt vọng nhất, nếm trải mất mát, để cứu lấy mảnh đất Tara thân yêu, cứu lấy gia đình. Nhưng mặc cho phong ba bão táp của cuộc đời, nàng vẫn giữ đó niềm lạc quan vô tận. Và giữa thời thế loạn lạc, bên cạnh nàng vẫn có một Rhett Butler ngang tàng và bất cần nhưng luôn dành cho Scarlett tình yêu và sự dung túng, một Melanie Hamilton dịu dàng thương mến đã đồng hành với nàng qua mọi đau thương, cũng như một Ashley Wilkes hiền hòa luôn đắm chìm trong hoài niệm. Tất cả họ đã sống, đã yêu và đã tạo nên những hình tượng văn chương bất hủ, xóa nhòa mọi chuẩn mực, khiến người đọc vừa yêu vừa ghét, vừa nhớ mãi không quên.

Là một trong những tác phẩm được yêu thích nhất mọi thời đại, Cuốn theo chiều gió đã họa nên một giai đoạn lịch sử bi tráng của nước Mỹ, cả trong huy hoàng phồn vinh lẫn lụi tàn suy kiệt, để thấy ở đó con người với tất cả ưu, khuyết, và tình yêu với tất cả trẻ trung, khờ dại, có lúc lạc đường vì hư ảo, nhưng sau cùng vẫn luôn là tình yêu.

Ở Việt Nam, Cuốn theo chiều gió đã được biết đến từ lâu và là một trong những tiểu thuyết được nhiều người tìm đọc và yêu mến. Trong số các bản dịch quen thuộc của tác phẩm này, bản dịch của dịch giả Vũ Kim Thư là bản dịch phổ biến nhất, vừa phóng khoáng lại vừa uyển chuyển, tình cảm. Vì lẽ đó, trong lần in này Đông A xin được giới thiệu lại với độc giả bản dịch của ông dựa theo bản in đầu tiên vào năm 1974 của Nhà xuất bản Đất Sống, đồng thời chúng tôi cũng tiến hành biên tập và dịch bổ sung một số chỗ bị thiếu so với bản gốc để có được một ấn phẩm trọn vẹn và chỉn chu. Ngoài ra, cuốn sách có thêm phụ bản Một số hình ảnh trong phim Cuốn theo chiều gió của đạo diễn Victor Fleming công chiếu năm 1939 và tặng kèm bookmark.

Thông tin tác giả:  Margaret Mitchell (1900 − 1949)

Qua đời vì tai nạn giao thông khi mới bốn mươi tám tuổi, cả đời Margaret Mitchell chỉ xuất bản một tác phẩm duy nhất, được viết ra “có lẽ vì buồn chán”, đó chính là tiểu thuyết Cuốn theo chiều gió (1936). Phải nghỉ ngơi dài kỳ do bị thương ở mắt cá chân, cô ký giả hai mươi lăm tuổi của tạp chí The Atlanta Journal đã đặt bút mở đầu thiên truyện về thời kỳ Nội chiến mà cô vốn rất hứng thú, rồi bỏ ra mười năm tiếp theo đọc hàng nghìn tài liệu để hoàn thành tác phẩm với những chi tiết dựa theo lịch sử vô cùng tỉ mẩn. Chỉ trong vòng sáu tháng sau khi ra mắt, cuốn sách đã bán được hơn một triệu bản, đưa cái tên Margaret Mitchell vụt sáng giữa văn đàn và đem về cho nữ nhà văn giải thưởng Sách Quốc gia (1936) cùng giải Pulitzer (1937) cho thể loại hư cấu. Cuốn theo chiều gió cũng được chuyển thể thành bộ phim kinh điển cùng tên (1939) và được tạp chí Le Monde bình chọn là một trong một trăm cuốn sách hay nhất thế kỷ 20 (1999).

 

Nhận xét về tác phẩm:

“Không bàn cãi gì nữa, một trong những tiểu thuyết đầu tay đáng chú ý nhất ra đời dưới một ngòi bút Mỹ. Cũng là một trong những tiểu thuyết tuyệt diệu nhất. Thậm chí có thể nói, chưa có tác phẩm nào xuất sắc hơn về khả năng tự sự trong địa hạt tiểu thuyết Mỹ.” - The New York Times

“Mê hoặc và khó quên! Cuốn sách xuất chúng, cuốn sách phi thường, cuốn sách đi vào miền bất hủ!” - Chicago Tribune

 “Không chỉ là một chuyện tình vĩ đại, Cuốn theo chiều gió còn là một trong những tiểu thuyết phản chiến có tầm ảnh hưởng nhất. Thuật chuyện từ góc nhìn của những phụ nữ bơ vơ giữa thời cuộc, Margaret Mitchel đã khắc họa tài tình sự tang thương và hoang tàn mà chiến tranh gây ra cho cả vùng đất và con người miền Nam.” - Fannie Flagg",567.000 đ,-10%,(0 đánh giá),0
Sách Trong Nước,Văn học,Phóng Sự - Ký Sự - Phê Bình Văn Học,Việt Nam Thi Ca Luận Và Văn Chương Xã Hội,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/9/7/9786045366745.jpg,Việt Nam Thi Ca Luận Và Văn Chương Xã Hội,NXB Hội Nhà Văn,NXB Hội Nhà Văn,2016,Bìa Mềm,Việt Nam Thi Ca Luận Và Văn Chương Xã Hội,68.000 đ,null,(0 đánh giá),0
Sách Trong Nước,Văn học,Tuổi Teen,Ngũ Quái Sài Gòn 16 - Kẻ Xuyên Tường,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/n/x/nxbtre_full_03512018_025127.jpg,Ngũ Quái Sài Gòn 16 - Kẻ Xuyên Tường,Bùi Chí Vinh,NXB Trẻ,2018,Bìa Mềm,"Ngũ Quái Sài Gòn 16 - Kẻ Xuyên Tường
Tập 16 gồm 2 vụ án mới, các bạn trẻ tiếp tục hành trình tìm lại công lý cho người dân và triệt phá các đường dây tội phạm mới.
Rừng Cát Lộc đang đối đầu với nạn săn trộm tê giác Java quý hiếm bởi băng Linh Cẩu Hai Đầu, Ngũ Quái Sài Gòn sau khi tìm hiểu và có đủ thông tin đã lên đường tìm và tóm gọn băng thợ săn ác nhân. Sau đó, nhóm bạn còn tóm được một nhóm tội phạm lợi dụng sự mê tín dị đoan của người dân để trục lợi.",42.500 đ,-15%,(0 đánh giá),0
Sách Trong Nước,Văn học,Hài Hước - Truyện Cười,Trạng Cười Hay Nhất,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_10174.jpg,Trạng Cười Hay Nhất,NXB Đồng Nai,NXB Đồng Nai,2018,Bìa Mềm,Trạng Cười Hay Nhất,55.200 đ,-20%,(0 đánh giá),0
Sách Trong Nước,Văn học,Huyền Bí - Giả Tưởng - Kinh Dị,Âm Dương Sư  - Tập 2: Tình Nhân Và Dạ Hành,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/a/m/am-duong-su-2---bia1.jpg,Âm Dương Sư  - Tập 2: Tình Nhân Và Dạ Hành,Yumemakura Baku,NXB Hà Nội,2020,Bìa Mềm,"Có một vị quan, nửa đêm ngồi xe bò đến nhà tình nhân. Ngang đường gặp bách quỷ dạ hành đi ngược lại, kẻ thì miệng phụt lửa, đứa mọc chân ở cằm, một bầy đầu ngựa mặt chó vô cùng dị dạng. May mà vị quan cầm bản chép kinh nên không bị chúng trông thấy, bù lại phải chứng kiến chúng nhảy xổ vào con bò, cắn rôm rốp hút sùn sụt nhai rau ráu. Không có bò, không đi được nữa.
Một vị quan khác, tối xuống thả bộ đến nhà tình nhân. Trên đường gặp đứa trẻ da thịt nhễ nhại đang đứng tắm trăng. Phải trả lời câu hỏi mới được đi qua, trả lời có thì bị nó giẫm nghiến xuống đất, trả lời không sẽ như đi lạc mê cung. Bí lối không tìm ra đáp án đúng, không đi được nữa.
Thế là, Seimei và Hiromasa lại cùng nhau băng mình vào đêm, đi tháo gỡ bí ẩn của những chuyến chơi đêm ma mị, cùng những món nợ trăng gió dưới bóng kinh thành Heian phong lưu…",80.100 đ,-10%,(0 đánh giá),0
